@id,accessScheme,contentType,parentPid,publishScheme,title,hasData_@id,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy,isDescribedBy_lastModifiedBy,isDescribedBy_modified
frl:6472946,public,file,frl:6472945,public,"['Development of lentil peptides with potent antioxidant, antihypertensive, and antidiabetic activities along with umami taste']",frl:6472946/data,68d333f451b4da320de0b9b7a9551f64,Food Science   Nutrition - 2023 - Rezvankhah - Development of lentil peptides with potent antioxidant  antihypertensive .pdf,application/pdf,1326411,2024-01-17T13:43:23.945+0100,286,286,2024-01-17T13:44:24.590+0100
frl:6472948,public,file,frl:6472947,public,['Anthocyanins improve liver fibrosis in mice by regulating the autophagic flux level of hepatic stellate cells by mmu_circ_0000623'],frl:6472948/data,44546be141c17fc25c7836de76fd0e35,Food Science   Nutrition - 2023 - Du - Anthocyanins improve liver fibrosis in mice by regulating the autophagic flux level.pdf,application/pdf,32906770,2024-01-17T14:17:13.331+0100,286,286,2024-01-17T14:18:54.894+0100
frl:6472950,public,file,frl:6472949,public,['Chimonanthus salicifolius extract alleviates DSS-induced colitis and regulates gut microbiota in mice'],frl:6472950/data,ad6033aaf77e70a0a6c5cbb774999908,Food Science   Nutrition - 2023 - Chen - Chimonanthus salicifolius extract alleviates DSS‐induced colitis and regulates gut.pdf,application/pdf,1884050,2024-01-18T11:13:56.984+0100,286,286,2024-01-18T11:15:11.448+0100
frl:6472952,public,file,frl:6472951,public,['Development of a paper strip test for colorimetric detection of urea in raw materials for animal feed'],frl:6472952/data,19c413d50901f51a6145a48def476525,Food Science   Nutrition - 2023 - Chanawanno - Development of a paper strip test for colorimetric detection of urea in raw.pdf,application/pdf,1532414,2024-01-18T11:47:36.575+0100,286,286,2024-01-18T11:48:40.756+0100
frl:6472954,public,file,frl:6472953,public,['Improvement in the stability and bioavailability of pumpkin lutein using β-cyclodextrin microcapsules'],frl:6472954/data,e7d9439be911977b5d3347405a5663cc,Food Science   Nutrition - 2023 - Shi - Improvement in the stability and bioavailability of pumpkin lutein using .pdf,application/pdf,1683347,2024-01-18T12:10:43.885+0100,286,286,2024-01-18T12:11:46.639+0100
frl:6472956,public,file,frl:6472955,public,"['Potential inhibitory effect of fish, maize, and whey protein hydrolysates on advanced glycation end-products (AGEs)']",frl:6472956/data,4f757702efbf99df9550b32e8ff1892b,Food Science   Nutrition - 2023 - Arasteh - Potential inhibitory effect of fish  maize  and whey protein hydrolysates on.pdf,application/pdf,564105,2024-01-18T12:43:03.898+0100,286,286,2024-01-18T12:44:06.258+0100
frl:6472958,public,file,frl:6472957,public,['Trait profiling and genotype selection in oilseed rape using genotype by trait and genotype by yield*trait approaches'],frl:6472958/data,a7e6990e0a6042d3a6284424bb6d5348,Food Science   Nutrition - 2023 - Bakhshi - Trait profiling and genotype selection in oilseed rape using genotype by trait.pdf,application/pdf,4065852,2024-01-18T13:16:36.134+0100,286,286,2024-01-18T13:17:47.789+0100
frl:6472960,public,file,frl:6472959,public,"['Effects of liposoluble components of highland barley spent grains on physiological indexes, intestinal microorganisms, and the liver transcriptome in mice fed a high-fat diet']",frl:6472960/data,f1172ff065e75051505005fa483731bb,Food Science   Nutrition - 2023 - Zhang - Effects of liposoluble components of highland barley spent grains on.pdf,application/pdf,3869658,2024-01-18T13:39:16.460+0100,286,286,2024-01-18T13:40:28.228+0100
frl:6472964,public,file,frl:6472963,public,"[""International addiction researchers' perspectives on the needs of persons with addictions, the use of neuroscientific research for prevention and treatment, and future foci in addictions research""]",frl:6472964/data,315ab75bc7bcbe06cf464de845510cf5,Ochterbeck-et-al_2023_International addiction researchers perspectives on the needs of persons with addictions the use of neuroscientific research for prevention and.pdf,application/pdf,2243139,2024-01-19T10:39:45.058+0100,266,317,2024-01-22T08:54:26.665+0100
frl:6472966,public,file,frl:6472965,public,['Impact of the COVID-19 pandemic on oncological care in Germany: Rapid review'],frl:6472966/data,5c35e2a45f32dae531779f9760aa7d87,De-Santis-et-al_2023_Impact of the COVID-19 pandemic.pdf,application/pdf,883117,2024-01-19T11:22:51.899+0100,266,317,2024-01-22T08:57:12.620+0100
